MINISTERE,DESC_MINISTERE,SECTION,DESC_SECTION,MNT_ALLOUE1617,MNT_AUTORISE1,MNT_AUTORISE2,MNT_AUTORISE3,MNT_AUTORISE4,MNT_AUTORISE5,MNT_AUTORISE6,MNT_AUTORISE7,MNT_AUTORISE8,MNT_AUTORISE9,MNT_AUTORISE10,MNT_AUTORISE11,MNT_AUTORISE12
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111111,BUREAU DU MINISTRE," 81,965,484.66 "," 1,069,350.00 "," 2,176,401.90 "," 17,347,404.42 "," 5,115,728.00 "," 5,647,727.16 "," 7,240,705.24 "," 4,965,952.87 "," 8,633,494.91 "," 5,170,335.53 "," 4,881,224.19 "," 8,019,413.28 "," 11,528,304.89 "
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111112,DIRECTION GENERALE DES SERVICES INTERNES," 780,646,726.14 "," 26,789,228.33 "," 44,789,031.75 "," 81,568,746.75 "," 69,785,160.43 "," 61,972,765.91 "," 75,734,905.72 "," 75,926,718.13 "," 90,943,854.42 "," 39,697,267.55 "," 61,355,934.75 "," 66,872,391.45 "," 83,194,355.51 "
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111113,CENTRE DE TECHNIQUES DE PLANIFICATION & D'ECONOMIE APPLIQUEE," 70,094,425.70 "," 10,651,969.70 "," 2,294,000.01 "," 7,302,071.75 "," 4,322,979.75 "," 4,434,528.93 "," 15,221,139.18 "," 4,738,393.55 "," 5,096,681.56 "," 3,718,312.16 "," 3,881,433.01 "," 4,709,399.96 "," 3,550,522.44 "
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111114,CONSEIL NATIONAL DES COOPERATIVES," 22,080,482.30 "," 1,000,510.00 "," 1,234,559.46 "," 2,795,063.37 "," 2,219,343.72 "," 2,910,430.41 "," 1,612,444.02 "," 1,769,140.00 "," 1,592,034.92 "," 1,831,942.82 "," 1,759,423.33 "," 1,493,255.44 "," 1,861,469.54 "
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111115,CENTRE NATIONAL DE L'INFORMATION GEO-SPATIALE," 63,641,991.13 "," 1,321,340.00 "," 6,432,890.44 "," 9,530,452.18 "," 3,881,130.06 "," 5,151,637.85 "," 8,487,856.73 "," 3,811,952.40 "," 4,191,066.92 "," 3,388,202.27 "," 4,976,379.53 "," 6,875,255.28 "," 5,573,843.10 "
1111 Total,,,," 1,018,429,109.93 "," 40,832,398.03 ",," 118,543,738.47 "," 85,324,341.96 "," 80,117,090.26 "," 108,297,050.89 "," 91,212,156.95 "," 110,457,132.73 "," 53,806,060.33 "," 76,854,394.81 "," 87,969,715.41 "," 105,708,495.48 "
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112111,BUREAU DU MINISTRE," 47,536,766.01 "," 5,336,408.88 "," 8,857,016.07 "," 3,134,007.85 "," 2,922,085.85 "," 2,539,470.24 "," 4,556,901.53 "," 1,892,409.50 "," 2,920,323.08 "," 2,161,206.82 "," 6,216,845.68 "," 3,156,525.50 "," 3,631,960.00 "
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112112,DIRECTION GENERALE DES SERVICES INTERNES," 905,564,444.09 "," 80,054,657.67 "," 70,470,200.77 "," 126,521,881.38 "," 63,831,030.57 "," 67,960,629.06 "," 57,797,085.23 "," 66,603,654.18 "," 61,050,112.01 "," 70,237,417.49 "," 73,947,796.49 "," 91,648,417.36 "," 71,991,773.09 "
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112117,BUREAU DU SECRETAIRE D'ETAT AUX FINANCES, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112119,FONDS D'ASSISTANCE ECONOMIQUE ET SOCIAL," 50,086,849.00 ", -   , -   ," 5,840,000.00 "," 5,756,477.18 "," 9,996,526.95 "," 5,286,670.07 "," 1,070,755.45 "," 745,183.72 "," 4,740,969.00 "," 2,950,000.00 "," 1,431,965.12 "," 12,253,297.94 "
