MINISTERE,DESC_MINISTERE,SECTION,DESC_SECTION,MNT_ALLOUE,MNT_AUTORISE,SOLDE
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111111,BUREAU DU MINISTRE,52767515.74,47687889.42,5079626.32
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111112,DIRECTION GENERALE DES SERVICES INTERNES,615178769.7,604818287.2,10360482.49
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111213,CENTRE DE TECHNI. DE PLANIF. ET D'ECONOMIE APPLIQUEE.(CTPEA),50802702.36,45850778.97,4951923.39
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111214,CONSEIL NATIONAL DES COOPERATIVES (CNC),15852350.85,15667108.5,185242.35
1111,MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE,1111215,CENTRE NTL DE L'INFORM. GEO SPAT.,24366228,24345100.3,21127.7
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112111,BUREAU DU MINISTRE,55236249.24,54195688.37,1040560.87
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112112,DIRECTION GENERALE DES SERVICES INTERNES,585515846.4,567971618.5,17544227.89
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112213,INSTITUT HAITIEN DE STATISTIQUE ET D'INFORMATIQUE,84741862.44,84058307.94,683554.5
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112214,DIRECTION GENERALE DU BUDGET,100951031.8,100907857.1,43174.65
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112215,DIRECTION GENERALE DES IMPOTS,988574432.2,978617112.3,9957319.85
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112216,ADMINISTRATION GENERALE DES DOUANES,1881741441,1824568951,57172489.88
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112217,BUREAU DU SECRETAIRE D'ETAT AUX FINANCES,0,0,0
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112219,FAES,11207610.36,0,11207610.36
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112221,UNITE DE LUTTE CONTRE LA CORRUPTION,93396753.12,93396725.25,27.87
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112222,ECOLE NATIONALE D'ADMINISTRATION FINANCIERE,44662319.76,44661828.21,491.55
1112,MINISTERE DE L'ECONOMIE ET DES FINANCES,1112223,COMMISSION INTERMINISTERIELLE DES INVESTISSEMENTS,0,0,0
