"MINISTERE","EMP-NOM","EMP-REI","EMP-CES","M","F","ND","TOTAL"
"1111",0,0,46,36,10,0,46
"1112",0,5,2,6,1,0,7
"1113",0,2,3,4,1,0,5
"1114",0,0,10,9,1,0,10
"1116",1,0,2,2,1,0,3
"1211",2,2,1,4,1,0,5
"1216",4,1,2,5,2,0,7
"1217",31,2,0,20,13,0,33
"1311",0,7,295,201,100,1,302
"1312",0,2,4,4,2,0,6
"1313",1080,11,33,590,534,0,1124
"1315",1,0,0,0,1,0,1
"1412",9,0,0,5,4,0,9
"1413",0,0,5,5,0,0,5
"2211",2,0,0,1,1,0,2
"3211",0,2,7,9,0,0,9
"4111",3,2,0,5,0,0,5
"4311",0,0,8,6,2,0,8
"",1133,36,418,912,674,1,1587
